MainText,Phishing,Label,CleanText
"Costco: Daniel, the code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: f2gpy.info/RzNKEws Zve",0.0,ham,costco daniel code 42003 printed receipt 10 came 2nd airpods draw f2gpyinforznkews zve
"Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice.",,ham,hi still owe ups 410 usd customs fees previous package reply 1 receive secure link pay invoice
"wel01.us/r/rest05 WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe",0.0,ham,wel01usrrest05 wells fargocsprofile locked unusual activities kindly restorereply stop unsubscribe
"Hi, are you who played golf together last time? I'm Lisa",,ham,hi played golf together last time im lisa
"(8 Hi Julianne long time no see, I'm Aleen, how are you doing ",,ham,8 hi julianne long time see im aleen
"hi Jessie, it's been a long time since I came out, what are you doing recently?",,ham,hi jessie long time since came recently
"Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. https://chat.whatsapp.com/ Djci PB8b7gTGGt16QJ5mJm",0.0,ham,dear invited join bitcoin internal discussion group team publish daily make profit bitcoin market reply number 1 click link join httpschatwhatsappcom djci pb8b7gtggt16qj5mjm
"CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at http://citibsec.com or at a local branch.",0.0,ham,citi unauthorized activity detected moved foward locking account please verify httpcitibseccom local branch
"Evanie, I'm Anna, how have you been, I'm back in Denver.",,ham,evanie im anna im back denver
"Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.",,ham,hello im amy annie im really sorry dialed wrong number thought friend embarrassing nice day thank youre really nice guy today really awkward nice meet new friend
"BofA:Your account has been restricted, visit secbofa.page.link/NLt",0.0,ham,bofayour account restricted visit secbofapagelinknlt
https://rebrand.ly/grppwwr AVOI6Y,1.0,smish,httpsrebrandlygrppwwr avoi6y
"Amazing news!, your application has been accepted. Finish the process: http://klkln.cc/vnbcbtd",0.0,ham,amazing news application accepted finish process httpklklnccvnbcbtd
https://b.link/h21bc br7ca2,1.0,smish,httpsblinkh21bc br7ca2
"Hey Niaz, help us answer a fast survey. We will give you a free watch in return. lksr.link/9pvvbF Txt Stop to end",0.0,ham,hey niaz help us answer fast survey give free watch return lksrlink9pvvbf txt stop end
Hi! I am Lisa's friend. Are you the Smith that Lisa recommended to me? I am Erin.,,ham,hi lisas friend smith lisa recommended erin
1 of 2 FRM:japho-Fe d3x.Ne.ws - MSG: Unsuccessful package from 1 April owed to you. Kindly assume ownership and confirm for delivery. (Con't) 2 of 2 https://wwj4w-fedex.us/jWXHwj?47965169(End) O?,0.0,ham,1 2 frmjaphofe d3xnews msg unsuccessful package 1 april owed kindly assume ownership confirm delivery cont 2 2 httpswwj4wfedexusjwxhwj47965169end
<Subject: c4c26> Z??? Bank Of America Hurry up ! Offers Have arrived! ($$90 value). /.//storag e.googleapis.com/jzoxubc/1fhg3lf BANK OF AMERICA,0.0,ham,subject c4c26 z bank america hurry offers arrived 90 value storag egoogleapiscomjzoxubc1fhg3lf bank america
You received money. Reply <<ok>> for details.,,ham,received money reply ok details
"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: mentioningdears.com/nzWjdtrM93",9.0,smish,subject nosubject free msg bill paid march thanks heres little gift mentioningdearscomnzwjdtrm93
"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: sirreeprematurely.com/X9cSSE4SfA",0.0,ham,subject nosubject free msg bill paid march thanks heres little gift sirreeprematurelycomx9csse4sfa
Your 2021 Auto-Policy may have Been Over-charged by 1275. Check for Possible CashBackfor 2022. xyzthriftyquotes.com/60ef6eec47,0.0,ham,2021 autopolicy may overcharged 1275 check possible cashbackfor 2022 xyzthriftyquotescom60ef6eec47
"FRM:719132-Fed_EX.906697 MSG:flm-;it will be returned to sender, We have made several attempts to reach you, https://jf245-fedex.me/y.jDxio?37588372 ",2.0,smish,frm719132fedex906697 msgflmit returned sender made several attempts reach httpsjf245fedexmeyjdxio37588372
"Dale We are interested in buying your home for cash, as-is, at or above any valid offer. Valid: 4/8 wepay-topvalue.com/bf2f414d45",0.0,ham,dale interested buying home cash asis valid offer valid 48 wepaytopvaluecombf2f414d45
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: vocalsprolonged.com/ZSgingd6vi",9.0,smish,free msg bill paid march thanks heres little gift vocalsprolongedcomzsgingd6vi
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: reamvino.com/SvjMeq1eKD",0.0,ham,free msg bill paid march thanks heres little gift reamvinocomsvjmeq1ekd
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: slappingtasting.com/Hamw6PokCc",0.0,ham,free msg bill paid march thanks heres little gift slappingtastingcomhamw6pokcc
"WELLS FARGO: Update>: A decision has been made, your account is suspended. Visit http://VERIFYWELLSFARGO.GA to regain access now! This action takes few seconds. O° A",0.0,ham,wells fargo update decision made account suspended visit httpverifywellsfargoga regain access action takes seconds o°
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: flimsyfooting.com/RugSJP91a6",0.0,ham,free msg bill paid march thanks heres little gift flimsyfootingcomrugsjp91a6
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: clowningbacking.com/ZOKNSJFtJT",0.0,ham,free msg bill paid march thanks heres little gift clowningbackingcomzoknsjftjt
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: catererhunger.com/Okk7d5ha2y",0.0,ham,free msg bill paid march thanks heres little gift catererhungercomokk7d5ha2y
FRM:ChaseBanking-Alert-3887 SUBJ:CALL: 812.809.4904 Now! MSG:MSG 17001 Account.Locked!,,ham,frmchasebankingalert3887 subjcall 8128094904 msgmsg 17001 accountlocked
